SentimentText,Sentiment
"I'll give writer/director William Gove credit finding someone finance ill-conceived ""thriller."" good argument wasting money subscribing HBO, let alone buying DVDs based cover art blurbs. pedestrian Dennis Hopper game Richard Grieco add nothing significant resumes, although art direction half bad. dialogue leave grimacing wonder conceit; storytelling worst. tension, suspense, dread, fear, empathy, catharsis, nothing. attractive often nude females spice boredom, definitely film best seen trailer. feel sorry guy greenlighted thing. Good late-night, zoned-out viewing only. warned.",0
"film bit tedious. It's mostly silent film, bulk story provided series voice-overs. making silent film like bad idea, one films lack dialog repetitive early scenes make simply tedious. don't understand reason tedium well picture, it's late. first 40 minutes film something slow piece Mexican soft porn, unimaginative soft porn that. Later film style first 40 minutes starts makes sense, it's late, audience lost. nice location shooting National Autonomous University Mexico. I've often wondered films aren't shot there. campus built edge lava fields lend campus otherworldly feel. biggest problem film director/writer made film way wanted see without regard viewer doesn't know story view it. can't ignore audience tell story.",0
"watched movie, hoped something get better entire time. great guy emotion? *yawn*<br /><br />You never see Alex show emotion anyone son. Yeah, know son one cause lose temper (if call that), get it.<br /><br />Characters undeveloped, relationships aren't given enough time understood. one scene Sarah says won't fall love, next time see she's talking death really shook close? Logic synapses abound film.<br /><br />It's like someone watched Boogie Nights wrote part mimic Little Bill. Even scene ""loses temper"" Little Bill shoots wife, facial expression (or lack thereof). Yes, William H. Macy good portraying man without emotion - there, done - say Magnolia?<br /><br />This movie didn't lack emotion, lacked substance, good script, developed characters, plot. certainly lacks recommendation. :)<br /><br />~A~",0
watched Lion king times friends put togther. baby sister.. know is. memorized plot lines. Lion king 2 came like ok well let see... second one significantly weaker... saw ad lion king 1 1/2... like ok go again. watching 1 1/2 like wow. expectations (for repetitevness) broken. truly lovely original plot keeps glued seat entire time. noticed cartoon filled many comical moments ROFlmao apply 100%.<br /><br />I definetly recommend seeing cartoon.,1
"considered quite melancholy, especially watch great touching tear-jerking movies. one (which surprised me!) also really surprising see many people praised movie highly.<br /><br />There several disturbing facts throughout movies: 1. Despite guilt-ridden Ben's real intention save 7 lives redeem past, find disturbing film seems encourage type suicidal action. people may perceive heroic action others think behaves cowardly, end disturbing action me.<br /><br />2. movie story line over-dramatized, logic over-simplified. Medically, blood type match required organ donor. Toward end film learnt Emily rear blood type limited chance get donor within short time period. Nevertheless, seemed Ben rare blood type, allowed donor conveniently, despite rarity Ben's blood type, able donate heart, also kidney, cornea bone marrow cases require matching blood type also tissue antigen.<br /><br />3. doctors allow Ben's organs donated despite jellyfish venom used kill himself?<br /><br />I might over-analyzing whole story movie. However, disturbing facts outlined hopefully help reconsider plan go watch movie. go soap-opera type film, go it. go seeking intelligent entertainment, give one miss!",0
"little girl (and dad owned video store), among favorite movies. hadn't heard much since then, really remember anything it, forgotten wake Don Bluth's other, probably better films. managed track weeks ago, however, pleasantly surprised again. Set New Orleans 1930s, animation delightful songs memorable. goofs continuity look hard enough, generally don't detract storyline, leaves smiling (and maybe even little misty-eyed, lover animals). characters believable (maybe even little grown-up younger watchers), well. Two paws up, haven't seen while, definitely worth re-watch.",1
"Brides dying altar corpses vanishing. one knows who, investigative reporter (Luana Walters) notes bride wearing strange orchid goes interview creator, Dr. Lorenz (Bela Lugosi). Dr. Lorenz mad scientist strange habits, including sleeping coffins injecting elderly wife (Elizabeth Russell) fluid young brides keep young.<br /><br />The Corpse Vanishes interesting premise short enough run time shouldn't able get boring. Unfortunately, starts quite well, start drag halfway point gets rather boring clich̩s predictable plot.<br /><br />There good things it-Bela Lugosi charming evil performs brilliantly; Elizabeth Russell also beautiful, suave, aloof creepy countess; I'm always fan Angelo Rossitto. Luana Walters also convincing reporter here.<br /><br />It maintains bit Gothic atmosphere sets decent.<br /><br />But overall, didn't manage hold interest whole picture, that, rate poorly.",0
"guess movie work people turned giant hype Lord Rings. Well, was. really love movie. Especially like flawless superheroes LotR perfectly disrespectfully parodied. brilliantly counterpart Gandalf (the brave wise completely humorless know-it-all wizard): Almghandi, cowardice brain dead transvestite. Sauron's counterpart (""Sauraus"" East Germany, course) wearing simply bucket eye holes helmet. Aragorns alter ego yet another accident prone idiot tries fix broken sword (""Ulrike"" legend) scotch tape. ""Strunzdumm"" (the counterpart Wormtong) indeed strong resemblance Brad Dourif! don't forget Grmpfli Heidi... huh-huh",1
"Ladies Man funny movie. There's much thought behind it, expect SNL movie? It's actually better SNL movies (i.e. Superstar Night Roxbury) Tim Meadows Ferrell funny. Chris Parnell also funny short scene (one funnier ones movie). that, rest cast average support Meadows. I've definitely seen funnier movies, I've seen dumber ones too. Again, it's exactly deep movie, it's good laughs. funnier skit though. still, you're looking pretty funny movie, I'd recommend one. don't think much, you'll hate it.<br /><br />Rating: 6/10",0
"really enjoyed 60's. generation (I'm waiting ""The 80's"") interesting see unique four hour capsule era.<br /><br />One major problem movie, however, unbalanced film portrayal families. According promos saw movie NBC, story basically two families struggling issues 1960's America. Now, may missed something, think learned white family African American family.<br /><br />I really think 60's uses music describe scenes better dialogue could come mouths actors (all talented.) visible end first part (about two hours in) mini-series.<br /><br />Very good movie!",1
